Date and time;Alarm;Status
26/06/2022 15:19:40;Sensor #1 Low Soil Hum;OFF
26/06/2022 15:19:40;Sensor #1 Low Supercapacitor voltage;OFF
26/06/2022 15:19:40;Sensor #1 Low Soil Hum;ON
26/06/2022 15:19:40;Sensor #1 Low Supercapacitor voltage;ON
26/06/2022 15:12:53;Last sensor or Gateway Communication error;ON
26/06/2022 14:52:53;Sensor #2 Low Soil Hum;ON
26/06/2022 14:51:52;Sensor #2 Low Soil Hum;OFF
26/06/2022 14:51:21;Sensor #2 Low Soil Hum;ON
26/06/2022 14:51:21;Sensor #2 Low Supercapacitor voltage;ON
26/06/2022 12:53:40;Sensor #2 module error;ON
26/06/2022 12:52:09;Sensor #2 Low Soil Hum;OFF
26/06/2022 12:52:09;Sensor #2 module error;OFF
26/06/2022 12:51:38;Sensor #2 module error;ON
26/06/2022 12:51:08;Sensor #2 module error;OFF
26/06/2022 12:50:37;Sensor #2 module error;ON
26/06/2022 12:50:06;Sensor #2 module error;OFF
26/06/2022 12:49:36;Sensor #2 module error;ON
26/06/2022 12:48:04;Sensor #2 module error;OFF
26/06/2022 12:47:33;Sensor #2 module error;ON
26/06/2022 12:47:03;Sensor #2 Low Soil Hum;ON
26/06/2022 12:47:03;Sensor #2 Low Supercapacitor voltage;ON
26/06/2022 12:47:03;Sensor #2 module error;OFF
26/06/2022 12:47:03;Sensor #2 module error;ON
26/06/2022 12:36:30;Sensor #1 Low Soil Hum;ON
26/06/2022 12:34:28;Sensor #1 Low Soil Hum;OFF
26/06/2022 12:33:58;Sensor #1 Low Soil Hum;ON
26/06/2022 12:33:28;Sensor #1 Low Soil Hum;OFF
26/06/2022 12:33:28;Sensor #1 Low Soil Hum;ON
26/06/2022 12:33:28;Sensor #1 Low Supercapacitor voltage;ON
26/06/2022 12:33:28;Sensor #1 module error;OFF
26/06/2022 12:29:13;Sensor #4 test button pressed;OFF
26/06/2022 12:28:42;Sensor #4 test button pressed;ON
26/06/2022 12:27:41;Sensor #4 High Soil Hum;OFF
26/06/2022 12:26:40;Sensor #4 test button pressed;OFF
26/06/2022 12:26:10;Sensor #4 test button pressed;ON
26/06/2022 12:21:43;Last sensor or Gateway Communication error;OFF
26/06/2022 12:21:13;Sensor #4 High Temp;ON
26/06/2022 12:18:45;Last sensor or Gateway Communication error;ON
26/06/2022 12:08:58;Sensor #4 Low Supercapacitor voltage;ON
26/06/2022 12:08:58;Sensor #3 module error;ON
26/06/2022 12:08:58;Sensor #2 module error;ON
26/06/2022 12:08:58;Sensor #1 module error;ON
26/06/2022 10:23:25;Last sensor or Gateway Communication error;OFF
26/06/2022 10:22:56;Sensor #4 High Temp;ON
26/06/2022 09:46:36;Last sensor or Gateway Communication error;ON
26/06/2022 09:32:14;Sensor #3 module error;ON
26/06/2022 09:32:14;Sensor #2 module error;ON
26/06/2022 09:32:14;Sensor #1 module error;ON
26/06/2022 09:23:05;Sensor #4 High Temp;OFF
26/06/2022 09:23:05;Sensor #4 High Temp;ON
26/06/2022 09:20:02;Sensor #4 Low Temp;OFF
26/06/2022 09:20:02;Sensor #4 Low Temp;ON
26/06/2022 09:02:43;Sensor #4 High Temp;OFF
26/06/2022 09:02:43;Sensor #4 High Temp;ON
26/06/2022 05:09:10;Sensor #3 module error;ON
26/06/2022 05:09:10;Sensor #3 Low Supercapacitor voltage;ON
26/06/2022 05:09:10;Sensor #2 module error;ON
26/06/2022 05:09:10;Sensor #2 Low Supercapacitor voltage;ON
26/06/2022 05:09:10;Sensor #1 module error;ON
26/06/2022 05:09:10;Sensor #1 Low Supercapacitor voltage;ON
26/06/2022 00:26:16;Sensor #4 Low Temp;OFF
26/06/2022 00:26:16;Sensor #4 Low Temp;ON
26/06/2022 00:05:53;Sensor #4 High Temp;OFF
26/06/2022 00:05:53;Sensor #4 High Temp;ON
25/06/2022 21:44:10;Sensor #4 Low Temp;OFF
25/06/2022 21:44:10;Sensor #4 Low Temp;ON
25/06/2022 21:43:09;Sensor #4 High Temp;OFF
25/06/2022 21:43:09;Sensor #4 High Temp;ON
25/06/2022 20:14:26;Sensor #2 High Temp;OFF
25/06/2022 20:14:26;Sensor #2 High Temp;ON
25/06/2022 12:11:44;Sensor #2 High Distance;OFF
25/06/2022 12:10:43;Sensor #2 High Distance;ON
25/06/2022 12:10:43;Sensor #2 Low Distance;OFF
25/06/2022 12:10:43;Sensor #2 Low Distance;ON
25/06/2022 12:10:43;Sensor #2 Low Supercapacitor voltage;OFF
25/06/2022 12:10:43;Sensor #2 module error;OFF
25/06/2022 12:10:43;Sensor #1 Low Hum;OFF
25/06/2022 12:10:43;Sensor #1 Low Hum;ON
25/06/2022 12:10:43;Sensor #1 Low Supercapacitor voltage;OFF
25/06/2022 12:10:43;Sensor #1 module error;OFF
25/06/2022 11:46:05;Sensor #2 module error;ON
25/06/2022 11:46:05;Sensor #2 Low Supercapacitor voltage;ON
25/06/2022 11:46:05;Sensor #1 module error;ON
25/06/2022 11:46:05;Sensor #1 Low Supercapacitor voltage;ON
25/06/2022 05:58:57;Sensor #3 module error;ON
25/06/2022 05:58:57;Sensor #3 Low Supercapacitor voltage;ON
25/06/2022 02:34:54;Sensor #2 module error;ON
25/06/2022 02:34:54;Sensor #2 Low Supercapacitor voltage;ON
25/06/2022 02:34:54;Sensor #1 module error;ON
25/06/2022 02:34:54;Sensor #1 Low Supercapacitor voltage;ON
24/06/2022 20:30:24;Sensor #4 test button pressed;ON
24/06/2022 10:47:38;Sensor #1 Low Hum;OFF
24/06/2022 10:47:38;Sensor #1 Low Hum;ON
24/06/2022 10:47:38;Sensor #1 module error;OFF
24/06/2022 10:45:06;Sensor #1 module error;ON
20/06/2022 11:13:28;Last sensor or Gateway Communication error;ON
20/06/2022 08:31:34;Sensor #2 Low Temp;OFF
20/06/2022 08:31:34;Sensor #2 Low Temp;ON
20/06/2022 08:31:04;Sensor #2 High Temp;OFF
20/06/2022 08:31:04;Sensor #2 High Temp;ON
20/06/2022 08:30:33;Sensor #2 Low Temp;OFF
20/06/2022 08:30:33;Sensor #2 Low Temp;ON
20/06/2022 02:45:39;Sensor #2 Low Supercapacitor voltage;ON
20/06/2022 02:45:08;Sensor #2 Low Supercapacitor voltage;OFF
20/06/2022 02:44:38;Sensor #2 Low Supercapacitor voltage;ON
19/06/2022 22:25:42;Sensor #2 High Temp;OFF
