Date and time;S.1 Cap Volt;S.1 Val1;S.1 Val2;S.1 Val3;S.2 Cap Volt;S.2 Val1;S.2 Val2;S.2 Val3;S.3 Cap Volt;S.3 Val1;S.3 Val2;S.3 Val3;S.4 Cap Volt;S.4 Val1;S.4 Val2;S.4 Val3;S.5 Cap Volt;S.5 Val1;S.5 Val2;S.5 Val3;S.6 Cap Volt;S.6 Val1;S.6 Val2;S.6 Val3;S.7 Cap Volt;S.7 Val1;S.7 Val2;S.7 Val3;S.8 Cap Volt;S.8 Val1;S.8 Val2;S.8 Val3;S.9 Cap Volt;S.9 Val1;S.9 Val2;S.9 Val3;S.10 Cap Volt;S.10 Val1;S.10 Val2;S.10 Val3;S.11 Cap Volt;S.11 Val1;S.11 Val2;S.11 Val3;S.12 Cap Volt;S.12 Val1;S.12 Val2;S.12 Val3;S.13 Cap Volt;S.13 Val1;S.13 Val2;S.13 Val3;S.14 Cap Volt;S.14 Val1;S.14 Val2;S.14 Val3;S.15 Cap Volt;S.15 Val1;S.15 Val2;S.15 Val3;S.16 Cap Volt;S.16 Val1;S.16 Val2;S.16 Val3;S.17 Cap Volt;S.17 Val1;S.17 Val2;S.17 Val3;S.18 Cap Volt;S.18 Val1;S.18 Val2;S.18 Val3;S.19 Cap Volt;S.19 Val1;S.19 Val2;S.19 Val3;S.20 Cap Volt;S.20 Val1;S.20 Val2;S.20 Val3;S.21 Cap Volt;S.21 Val1;S.21 Val2;S.21 Val3;S.22 Cap Volt;S.22 Val1;S.22 Val2;S.22 Val3;S.23 Cap Volt;S.23 Val1;S.23 Val2;S.23 Val3;S.24 Cap Volt;S.24 Val1;S.24 Val2;S.24 Val3;S.25 Cap Volt;S.25 Val1;S.25 Val2;S.25 Val3;S.26 Cap Volt;S.26 Val1;S.26 Val2;S.26 Val3;S.27 Cap Volt;S.27 Val1;S.27 Val2;S.27 Val3;S.28 Cap Volt;S.28 Val1;S.28 Val2;S.28 Val3;S.29 Cap Volt;S.29 Val1;S.29 Val2;S.29 Val3;S.30 Cap Volt;S.30 Val1;S.30 Val2;S.30 Val3;S.31 Cap Volt;S.31 Val1;S.31 Val2;S.31 Val3;S.32 Cap Volt;S.32 Val1;S.32 Val2;S.32 Val3;S.33 Cap Volt;S.33 Val1;S.33 Val2;S.33 Val3;S.34 Cap Volt;S.34 Val1;S.34 Val2;S.34 Val3;S.35 Cap Volt;S.35 Val1;S.35 Val2;S.35 Val3;S.36 Cap Volt;S.36 Val1;S.36 Val2;S.36 Val3;S.37 Cap Volt;S.37 Val1;S.37 Val2;S.37 Val3;S.38 Cap Volt;S.38 Val1;S.38 Val2;S.38 Val3;S.39 Cap Volt;S.39 Val1;S.39 Val2;S.39 Val3;S.40 Cap Volt;S.40 Val1;S.40 Val2;S.40 Val3
08/06/2022 16:46:47;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/06/2022 16:48:15;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/06/2022 16:49:17;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/06/2022 16:55:08;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/06/2022 16:55:12;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/06/2022 16:56:13;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/06/2022 16:57:14;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/06/2022 16:58:16;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/06/2022 16:59:17;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/06/2022 17:00:19;2250;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/06/2022 17:07:13;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/06/2022 17:08:12;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/06/2022 17:09:13;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/06/2022 17:14:57;2250;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/06/2022 17:15:57;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/06/2022 17:16:57;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/06/2022 17:17:57;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/06/2022 17:18:58;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/06/2022 17:19:58;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
